SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM
O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,0.632070638,1.5511,241.25,4,2,74.58,3,0.85,2
O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,0.108159152,-0.3084,492.232,6,8,236.6,15,0.8187,2
Oc1ccc(/C=N/C2CCCCC2/N=C/c2ccc(O)cc2)cc1,0.837196983,3.947,322.408,4,2,65.18,4,0.71,2
O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)[C@H]3c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1,0.070237473,4.1416,740.67,15,11,267.29,4,0.8572,2
NC(=S)N/N=C/c1ccccn1,0.388816583,0.2487,180.236,3,2,63.3,2,0.897,1.5
NC(=S)N/N=C/c1cccnc1,0.388816583,0.2487,180.236,3,2,63.3,2,0.92,1.5
NC(=S)N/N=C/c1ccncc1,0.388816583,0.2487,180.236,3,2,63.3,2,0.855,1.5
O=C/C=C/c1ccccc1,0.443368782,1.8987,132.162,1,0,17.07,2,0.8698,1.5
Nc1ccccc1C(=O)c1ccccc1,0.593384232,2.4998,197.237,2,1,43.09,2,0.8881,1.4
O=Nc1c(O)c(/N=N/c2ccc(Cl)cc2[N+](=O)[O-])cc2ccccc12,0.269832845,5.9203,356.725,7,1,117.52,4,0.8492,1.4
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.489947277,0.0964,511.36,6,2,110.29,6,0.862,1.25
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.564274954,-1.1742,411.346,6,2,110.29,4,0.3104,1.25
C[NH+]1CCN(CCO)C1.O=S(=O)(F)[N-]S(=O)(=O)F,0.557999793,-2.4448,311.332,6,2,110.29,4,0.1569,1.25
c1cc(-c2noc(-c3ccncc3)n2)ccn1,0.66715862,2.1936,224.223,5,0,64.7,2,0.9397,1.2
c1ccc(-c2noc(-c3ccccn3)n2)nc1,0.66715862,2.1936,224.223,5,0,64.7,2,0.9544,1.2
c1ccc2c(c1)[nH]c1cnccc12,0.548948557,2.7161,168.199,1,1,28.68,0,0.92,1.2
c1cncc(-c2noc(-c3cccnc3)n2)c1,0.66715862,2.1936,224.223,5,0,64.7,2,0.9743,1.2
Cc1nccc2c1[nH]c1ccccc12,0.568427007,3.02452,182.226,1,1,28.68,0,0.93,1.2
Nc1ccccc1C(=O)c1ccccc1,0.593384232,2.4998,197.237,2,1,43.09,2,0.8397,1.2
[Br-].c1ccc(OCCC[n+]2ccccn2)cc1,0.513808763,-1.1578,295.18,2,0,26,5,0.9103,1
[N-]=[N+]=NCc1cc(CN2CCCCC2)c(O)c2ncccc12,0.529683573,3.7366,297.362,4,1,85.12,4,0.88,1
[N-]=[N+]=NCc1cc(CN2CCOCC2)c(O)c2ncccc12,0.533034306,2.5829,299.334,5,1,94.35,4,0.9,1
Brc1ccc(-n2ccnc2)cc1,0.726070299,2.6348,223.073,2,0,17.82,1,0.564,1
Brc1ccc2nc[nH]c2c1,0.689170014,2.3254,197.035,1,1,28.68,0,0.607,1
BrCCCCOc1cccc2cccnc12,0.613785024,3.7887,280.165,2,0,22.12,5,0.975,1
BrCCCOc1cccc2cccnc12,0.624674758,3.3986,266.138,2,0,22.12,4,0.957,1
BrCCOc1cccc2cccnc12,0.783149595,3.0085,252.111,2,0,22.12,3,0.952,1
C#CCN1C(=O)c2ccccc2S1(=O)=O,0.647425695,0.4643,221.237,3,0,54.45,1,0.9247,1
C(=N/c1ccc(Cc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.321947011,6.9016,386.545,4,0,24.72,6,0.761,1
C(=N/c1ccc(CCc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.295692545,7.096,400.572,4,0,24.72,7,0.811,1
C(=N/c1ccc(Oc2ccc(/N=C/c3ccccn3)cc2)cc1)\c1ccccn1,0.400203239,5.7701,378.435,5,0,59.73,6,0.8114,1
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,0.324228952,7.1031,388.517,5,0,33.95,6,0.82,1
C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,0.219431003,7.5624,470.532,6,0,68.96,8,0.8783,1
C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,0.275418237,7.6787,402.569,5,0,24.72,4,0.864,1
C(=Nc1nc[nH]n1)c1ccc(C=Nc2nc[nH]n2)cc1,0.695954833,1.424,266.268,6,2,107.86,4,0.912,1
C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,0.214860338,-0.7458,429.426,12,0,131.64,18,0.84,1
C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,0.824744796,2.79452,243.262,4,1,62.8,2,0.865,1
C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,0.855317811,3.44792,277.707,4,1,62.8,2,0.814,1
C[N+](C)(C)CCCCCCN1C(=O)C(=O)c2ccccc21,0.439197032,2.4825,289.399,2,0,37.38,7,0.9207,1
C[NH+]1CCN(CCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.489947277,0.0964,511.36,6,2,110.29,6,0.8337,1
