SMILES,IE,Concentration_mM
c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,0.92,1
c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,0.815,0.1
c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,0.869,0.5
c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,0.92,2
c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,0.886,1
c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,0.809,0.1
c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,0.857,0.5
c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,0.918,2
c1ccc2[nH]c(COCc3nc4ccccc4[nH]3)nc2c1,0.95,1
c1ccc2[nH]c(COCc3nc4ccccc4[nH]3)nc2c1,0.76,0.1
c1ccc2[nH]c(CSCc3nc4ccccc4[nH]3)nc2c1,0.96,1
c1ccc2[nH]c(CSCc3nc4ccccc4[nH]3)nc2c1,0.81,0.1
c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.92,0.01
c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.96,0.1
c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.94,0.05
c1ccc2[nH]c(SCCCCCCCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.97,0.5
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.85,0.01
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.89,0.1
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.88,0.05
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.92,0.5
c1ccc2[nH]c(SCSc3nc4ccccc4[nH]3)nc2c1,0.971,1
c1ccc2[nH]c(SCSc3nc4ccccc4[nH]3)nc2c1,0.922,0.01
c1ccc2[nH]c(SCSc3nc4ccccc4[nH]3)nc2c1,0.965,0.1
c1ccc2[nH]c(SCSc3nc4ccccc4[nH]3)nc2c1,0.913,0.001
c1ccc2[nH]c(SSc3nc4ccccc4[nH]3)nc2c1,0.92,1
c1ccc2c(c1)[nH]c1cnccc12,0.67,0.2
c1ccc2c(c1)[nH]c1cnccc12,0.79,0.4
c1ccc2c(c1)[nH]c1cnccc12,0.9,0.8
c1ccc2c(c1)[nH]c1cnccc12,0.92,1.2
c1ccc2c(c1)N=C1CCCCC1C1(CCCCC1)N2,0.897,1
c1ccc2c(c1)OCCOc1ccccc1-c1nnc-2s1,0.932,0.01
c1ccc2c(c1)OCCOc1ccccc1-c1nnc-2s1,0.986,0.1
c1ccc2c(c1)OCCOc1ccccc1-c1nnc-2s1,0.957,0.05
c1ccc2c(c1)OCCOc1ccccc1-c1nnc-2s1,0.627,0.001
c1ccc2c(c1)OCCOCCOc1ccccc1-c1nnc-2s1,0.939,0.01
c1ccc2c(c1)OCCOCCOc1ccccc1-c1nnc-2s1,0.989,0.1
c1ccc2c(c1)OCCOCCOc1ccccc1-c1nnc-2s1,0.972,0.05
c1ccc2c(c1)OCCOCCOc1ccccc1-c1nnc-2s1,0.719,0.001
c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1,0.953,0.01
c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1,0.99,0.1
c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1,0.985,0.05
c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1,0.768,0.001
c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.98,0.01
c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.992,0.1
c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.989,0.05
c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.789,0.001
c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.991,0.01
c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.993,0.1
c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.992,0.05
c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.823,0.001
c1ccc2ncccc2c1,0.8296,1
c1ccc2sc(CCc3nc4ccccc4s3)nc2c1,0.91,1
c1ccc2sc(CCc3nc4ccccc4s3)nc2c1,0.68,0.1
c1ccc2sc(CCc3nc4ccccc4s3)nc2c1,0.56,0.05
c1ccc2sc(CCc3nc4ccccc4s3)nc2c1,0.88,0.5
